,JID,RAdeg,DEdeg,z,TType,Bar,Ring,FRing,RC3
338,J095243.93-000329.91,148.184,-0.058,0.046,4.0,0.0,0.0,0.0,999999
339,J095548.88-000549.65,148.954,-0.097,0.084,-5.0,0.0,0.0,0.0,999999
340,J100109.54-000446.24,150.29,-0.079,0.046,-5.0,0.0,0.0,0.0,999999
341,J100152.94-000730.56,150.471,-0.125,0.033,-2.0,0.0,0.0,0.0,999999
342,J100752.91-000913.62,151.971,-0.153,0.047,0.0,0.0,0.0,0.0,999999
343,J101359.07-000453.69,153.497,-0.081,0.091,-2.0,0.0,0.0,0.0,999999
344,J102952.63-001027.75,157.47,-0.174,0.035,3.0,0.0,0.0,0.0,999999
346,J103920.45-001200.89,159.836,-0.2,0.019,-5.0,0.0,0.0,0.0,.E...*.
349,J110737.37-000138.09,166.906,-0.027,0.067,-5.0,0.0,0.0,0.0,999999
350,J110925.31-000551.75,167.356,-0.097,0.013,3.0,0.0,0.0,0.0,PSXT5..
353,J111327.94-000324.96,168.367,-0.056,0.04,0.0,72.0,0.0,0.0,999999
354,J113158.63-000301.16,172.995,-0.05,0.04,5.0,0.0,0.0,0.0,.SAS6*.
355,J113903.33-001221.60,174.764,-0.206,0.019,4.0,0.0,0.0,0.0,.S..4P/
357,J120028.87-000724.86,180.121,-0.123,0.082,-5.0,0.0,0.0,0.0,999999
358,J120724.79-000929.94,181.854,-0.158,0.022,6.0,8.0,0.0,0.0,999999
359,J120953.08-000057.64,182.472,-0.016,0.036,3.0,0.0,0.0,0.0,.S..3?/
360,J121035.57-001017.38,182.649,-0.171,0.051,4.0,0.0,0.0,0.0,.SBR4?.
